antibiotic_id,name,drug_class_id,atc_code,notes
1,demeclocycline,1,J01AA01,"O: 0.6 g"
2,doxycycline,1,J01AA02,"O: 0.1 g; P: 0.1 g"
3,chlortetracycline,1,J01AA03,"O: 1 g"
4,lymecycline,1,J01AA04,"O: 0.6 g; P: 0.6 g"
5,metacycline,1,J01AA05,"O: 0.6 g"
6,oxytetracycline,1,J01AA06,"O: 1 g; P: 1 g"
7,tetracycline,1,J01AA07,"O: 1 g; P: 1 g"
8,minocycline,1,J01AA08,"O: 0.2 g; P: 0.2 g"
9,rolitetracycline,1,J01AA09,"P: 0.35 g"
10,penimepicycline,1,J01AA10,""
11,clomocycline,1,J01AA11,"O: 1 g"
12,tigecycline,1,J01AA12,"P: 0.1 g"
13,eravacycline,1,J01AA13,"P: 0.14 g"
14,sarecycline,1,J01AA14,"O: 0.1 g"
15,omadacycline,1,J01AA15,"O: 0.3 g; P: 0.1 g"
16,combinations of tetracyclines,1,J01AA20,"combinations"
17,oxytetracycline combinations,1,J01AA56,"combinations"
18,chloramphenicol,2,J01BA01,"O: 3 g; P: 3 g"
19,thiamphenicol,2,J01BA02,"O: 1.5 g; P: 1.5 g"
20,thiamphenicol combinations,2,J01BA52,"combinations"
21,ampicillin,3,J01CA01,"O: 2 g; P: 6 g; R: 2 g"
22,pivampicillin,3,J01CA02,"O: 1.05 g"
23,carbenicillin,3,J01CA03,"P: 12 g"
24,amoxicillin,3,J01CA04,"O: 1.5 g; P: 3 g"
25,carindacillin,3,J01CA05,"O: 4 g"
26,bacampicillin,3,J01CA06,"O: 1.2 g"
27,epicillin,3,J01CA07,"O: 2 g; P: 2 g"
28,pivmecillinam,3,J01CA08,"O: 0.6 g"
29,azlocillin,3,J01CA09,"P: 12 g"
30,mezlocillin,3,J01CA10,"P: 6 g"
31,mecillinam,3,J01CA11,"P: 1.2 g"
32,piperacillin,3,J01CA12,"P: 14 g"
33,ticarcillin,3,J01CA13,"P: 15 g"
34,metampicillin,3,J01CA14,"O: 1.5 g; P: 1.5 g"
35,talampicillin,3,J01CA15,"O: 2 g"
36,sulbenicillin,3,J01CA16,"P: 15 g"
37,temocillin,3,J01CA17,"P: 4 g"
38,hetacillin,3,J01CA18,"O: 2 g"
39,aspoxicillin,3,J01CA19,"P: 4 g"
40,combinations penicillins,3,J01CA20,"combinations"
41,ampicillin combinations,3,J01CA51,"combinations"
