gene_id,aro_accession,name,family_id,description,mechanism_id,DNA_accession,RNA_accession
3000027,ARO:3000027,emrA,10002,"EmrA is a membrane fusion protein, providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli, a Gram-negative bacterium.",10000,gb|AP009048.1|+|2810083-2811255|emrA [Escherichia coli str. K-12 substr. W3110],gb|BAA16547.1|+|emrA [Escherichia coli str. K-12 substr. W3110]
3000238,ARO:3000238,glycopeptide resistance gene cluster VanB,3000234,"Homologous to vanA, contains a D-Ala-D-Lac ligase. The chromosome-located vanO gene cluster is inducible. Not much is known about the biochemistry about the vanO gene cluster. Gene orientation: orf1 RS orf2 HOX.",1001,N/A,N/A
3000246,ARO:3000246,glycopeptide resistance gene cluster VanC,3000234,This cluster confers resistance to both vancomycin and teicoplanin by allowing restructuring of peptidoglycan precursors to end in D-Ala-D-Lac. Resistance is acquired after multiple treatments with sub-minimum inhibitory concentrations of vancomycin. Gene orientation: vanHPXRS.,10000,N/A,N/A
3000253,ARO:3000254,glycopeptide resistance gene cluster VanD,3000234,"Homologous to vanA, contains a D-Ala-D-Lac ligase.  This cluster is constitutively expressed in the chromosome due to a dysfunctional D-ala-D-ala ligase and confers moderate resistance to both vancomycin and teicoplanin. Gene orientation: vanRSYHDX.",10000,N/A,N/A
3000255,ARO:3000255,glycopeptide resistance gene cluster VanF,3000234,"This inducible cluster confers high resistance to vancomycin and intermediate resistance to teicoplanin. It achieves this through peptidoglycan restructuring with its VanA ligase homologue, VanI, causing the precursurs to end in D-Ala-D-Lac. The cluster uniquely contains murF, the final enzyme in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein. The VanI gene cluster has been found in chromosomal DNA. Gene orientation: vanSRIWK-murFvanX.",1001,N/A,N/A
3000256,ARO:3000256,glycopeptide resistance gene cluster VanM,3000234,"Homologous to vanA, contains a D-Ala-D-Lac ligase. The plasmid-located vanM gene cluster is inducible and confers high resistance to vancomycin and teicoplanin. Gene orientation: RSYHMX.",1001,N/A,N/A
3000256,ARO:3000256,glycopeptide resistance gene cluster VanM,3000234,"Homologous to vanA, contains a D-Ala-D-Lac ligase. The chromosome-located vanO gene cluster is inducible. Not much is known about the biochemistry about the vanO gene cluster. Gene orientation: orf1 RS orf2 HOX.",1001,N/A,N/A
3000257,ARO:3000257,glycopeptide resistance gene cluster VanG,3000234,"Homologous to VanC, contains a D-Ala-D-Ser ligase. The chromosome-located vanL gene cluster is inducible and confers low resistance to vancomycin. vanL organisms remain susceptible to teicoplanin. It is the only van gene cluster with two vanT genes. Gene orientation: vanL(XY)TmTrRS.",1001,N/A,N/A
3000260,ARO:3000260,glycopeptide resistance gene cluster VanL,3000234,"Homologous to vanC, contains a D-Ala-D-Ser ligase. The plasmid-located vanM gene cluster is inducible and confers low resistance to vancomycin. vanN organisms remain susceptible to teicoplanin. Gene orientation: N(XY)TRS.",1001,N/A,N/A
3000359,ARO:3000259,glycopeptide resistance gene cluster VanE,3000234,"Homologous to VanC, contains a D-Ala-D-Ser ligase. The chromosome-located vanE gene cluster is inducible and confers low resistance to vancomycin. vanE organisms remain susceptible to teicoplanin. Gene orientation: E(XY)TRS.",10000,N/A,N/A
3000373,ARO:3000373,EmrKY-TolC,10002,"EmrKY is a homolog of EmrAB found in E. coli. Together with TolC, it is a tripartite multidrug transporter.",10000,N/A,N/A
3000384,ARO:3004082,AcrAB-TolC,10004,"AcrAB-TolC is a tripartite RND efflux system that confers resistance to tetracycline, chloramphenicol, ampicillin, nalidixic acid, and rifampin in Gram-negative bacteria. The system spans the cell membrane (AcrB) and the outer-membrane (TolC), and is linked together in the periplasm by AcrA.",10000,N/A,N/A
