gb|AY082011.1|+|5901-6932|vanD [Enterococcus faecium]	gb|AAM09849.1|+|vanD [Enterococcus faecium]
gb|M97297.1|+|6979-8010|vanA [Enterococcus faecium]	gb|AAA65956.1|+|vanA [Enterococcus faecium]
gb|KF823969.1|+|5111-6139|vanB [Enterococcus faecium]	gb|AHH83938.1|+|vanB [Enterococcus faecium]
gb|AE005672.3|-|1983116-1984810|patA [Streptococcus pneumoniae TIGR4]	gb|AAK76137.1|+|patA [Streptococcus pneumoniae TIGR4]
gb|AE005672.3|-|1980558-1982324|patB [Streptococcus pneumoniae TIGR4]	gb|AAK76136.1|+|patB [Streptococcus pneumoniae TIGR4]
gb|AY661734.1|+|840-2195|mepA [Staphylococcus aureus]	gb|AAU95768.1|+|mepA [Staphylococcus aureus]
gb|AP009048.1|+|2810083-2811255|emrA [Escherichia coli str. K-12 substr. W3110]	gb|BAA16547.1|+|emrA [Escherichia coli str. K-12 substr. W3110]
gb|AP009048.1|+|2810083-2811255|emrA [Escherichia coli str. K-12 substr. W3110]	gb|BAA16547.1|+|emrA [Escherichia coli str. K-12 substr. W3110]
gb|U00096.1|+|2812616-2814154|emrB [Escherichia coli str. K-12 substr. MG1655]	gb|AAC75733.1|+|emrB [Escherichia coli str. K-12 substr. MG1655]
gb|AY453161.1|+|501-1430|Bla1 [Bacillus anthracis]	gb|AAR20595.1|+|Bla1 [Bacillus anthracis]
gb|U82085.2|+|629-2287|vgaB [Staphylococcus aureus]	gb|AAB95639.1|+|vgaB [Staphylococcus aureus]
gb|BA000018.3|+|48894-49265|mecI [Staphylococcus aureus subsp. aureus N315]	gb|BAB41258.1|+|mecI [Staphylococcus aureus subsp. aureus N315]
gb|AE004091.2|+|1221691-1222098|FosA [Pseudomonas aeruginosa PAO1]	gb|AAG04518.1|+|FosA [Pseudomonas aeruginosa PAO1]
N/A	N/A
gb|AF534183.1|+|2971-4245|tet(A) [Shigella sonnei]	gb|AAN06707.1|+|tet(A) [Shigella sonnei]
gb|AB089595.1|+|1-1206|tet(B) [Gram-negative bacterium TC71]	gb|BAC67143.1|+|tet(B) [Gram-negative bacterium TC71]
gb|AY043299.1|-|3985-5175|tet(C) [Aeromonas salmonicida]	gb|AAK97755.1|+|tet(C) [Aeromonas salmonicida]
gb|AF467077.1|+|164-1348|tet(D) [Shigella flexneri Y]	gb|AAL75563.1|+|tet(D) [Shigella flexneri Y]
gb|AE016877.1|+|1972252-1972668|FosB [Bacillus cereus ATCC 14579]	gb|AAP08996.1|+|FosB [Bacillus cereus ATCC 14579]
gb|L06940.1|+|1-1218|tet(E) [Escherichia coli]	gb|AAA71915.1|+|tet(E) [Escherichia coli]
gb|AF133139.1|+|1-1176|tet(G) [Pseudomonas sp.]	gb|AAD25538.1|+|tet(G) [Pseudomonas sp.]
gb|Y15510.1|+|1-1203|tet(H) [Pasteurella multocida]	gb|CAA75663.1|+|tet(H) [Pasteurella multocida]
gb|AF038993.1|+|1-1197|tet(J) [Proteus mirabilis]	gb|AAD12753.1|+|tet(J) [Proteus mirabilis]
gb|S67449.1|+|1-1380|tet(K) [Staphylococcus aureus]	gb|AAB28795.1|+|tet(K) [Staphylococcus aureus]
gb|M11036.1|+|1-1377|tet(L) [Geobacillus stearothermophilus]	gb|AAA22851.1|+|tet(L) [Geobacillus stearothermophilus]
gb|L20800.1|+|1063-2325|tetA(P) [Clostridium perfringens]	gb|AAA20116.1|+|tetA(P) [Clostridium perfringens]
gb|AF030344.1|-|462-1721|tet(V) [Mycolicibacterium smegmatis MC2 155]	gb|AAB84282.1|+|tet(V) [Mycolicibacterium smegmatis MC2 155]
gb|AF070999.1|+|1680-2855|tet(Y) [IncQ plasmid pIE1120]	gb|AAC72341.1|+|tet(Y) [IncQ plasmid pIE1120]
gb|AF121000.1|-|11880-13034|tet(Z) [Corynebacterium glutamicum]	gb|AAD25063.1|+|tet(Z) [Corynebacterium glutamicum]
gb|AB039845.1|+|26-1945|tet(M) [Erysipelothrix rhusiopathiae]	gb|BAB82500.1|+|tet(M) [Erysipelothrix rhusiopathiae]
gb|M18896.2|+|207-2126|tet(O) [Campylobacter jejuni]	gb|AAA23033.2|+|tet(O) [Campylobacter jejuni]
gb|Z21523.1|+|1-1974|tet(Q) [Bacteroides fragilis]	gb|CAA79727.1|+|tet(Q) [Bacteroides fragilis]
gb|L09756.1|+|1-1926|tet(S) [Listeria monocytogenes]	gb|AAA25293.1|+|tet(S) [Listeria monocytogenes]
gb|L42544.1|+|1-1956|tet(T) [Streptococcus pyogenes]	gb|AAF01499.1|+|tet(T) [Streptococcus pyogenes]
gb|AJ222769.3|+|3687-5606|tet(W) [Butyrivibrio fibrisolvens]	gb|CAA10975.1|+|tet(W) [Butyrivibrio fibrisolvens]
gb|L20800.1|+|2309-4267|tetB(P) [Clostridium perfringens]	gb|AAA20117.1|+|tetB(P) [Clostridium perfringens]
gb|EU722333.1|+|1933-3852|tet(32) [Escherichia coli]	gb|ACH87088.1|+|tet(32) [Escherichia coli]
gb|AJ514254.1|+|1-1923|tet(36) [Bacteroides coprosuis DSM 18011]	gb|CAD55718.1|+|tet(36) [Bacteroides coprosuis DSM 18011]
gb|FFFO01000009.1|+|81761-82162|FosX [Listeria monocytogenes]	gb|CWV56762.1|+|FosX [Listeria monocytogenes]
gb|M37699.1|+|586-1752|tet(X) [Bacteroides fragilis]	gb|AAA27471.1|+|tet(X) [Bacteroides fragilis]
gb|D78168.1|+|537-1592|emrK [Escherichia coli]	gb|BAA11236.1|+|emrK [Escherichia coli]
gb|CP000703.1|+|40849-42606|mecR1 [Staphylococcus aureus subsp. aureus JH9]	gb|ABQ47844.1|+|mecR1 [Staphylococcus aureus subsp. aureus JH9]
gb|U00096.3|-|481254-484403|acrB [Escherichia coli str. K-12 substr. MG1655]	gb|AAC73564.1|+|acrB [Escherichia coli str. K-12 substr. MG1655]
gb|EF540343.1|-|1464-3230|blaR1 [Alkalihalobacillus clausii]	gb|ABU39979.1|+|blaR1 [Alkalihalobacillus clausii]
gb|AF078527.1|+|3770-4303|ANT(2'')-Ia [Pseudomonas aeruginosa]	gb|AAC64365.1|+|ANT(2'')-Ia [Pseudomonas aeruginosa]
N/A	N/A
gb|FJ768952.1|+|1-1488|TolC [Escherichia coli]	gb|ACN32294.1|+|TolC [Escherichia coli]
N/A	N/A
gb|HQ203032.1|+|1-345|RbpA [Mycolicibacterium smegmatis MC2 155]	gb|ADV91011.1|+|RbpA [Mycolicibacterium smegmatis MC2 155]
N/A	N/A
N/A	N/A
gb|M12730.1|+|780-1514|ErmC [Staphylococcus epidermidis]	gb|AAA98296.1|+|ErmC [Staphylococcus epidermidis]
gb|X52085.1|+|343-1809|msrA [Staphylococcus epidermidis]	gb|CAA36304.1|+|msrA [Staphylococcus epidermidis]
gb|D78168.1|+|1592-3130|emrY [Escherichia coli]	gb|BAA11237.1|+|emrY [Escherichia coli]
N/A	N/A
N/A	N/A
N/A	N/A
N/A	N/A
N/A	N/A
N/A	N/A
N/A	N/A
gb|AP009048.1|+|1621288-1621671|marA [Escherichia coli str. K-12 substr. W3110]	gb|BAA15221.2|+|marA [Escherichia coli str. K-12 substr. W3110]
gb|AY225127.1|+|41-1537|lsaA [Enterococcus faecalis ATCC 29212]	gb|AAO43110.1|+|lsaA [Enterococcus faecalis ATCC 29212]
N/A	N/A
gb|D16251.1|-|1626-2531|mphA [Escherichia coli]	gb|BAA03776.1|+|mphA [Escherichia coli]
gb|D85892.1|+|1159-2067|mphB [Escherichia coli]	gb|BAA12910.1|+|mphB [Escherichia coli]
gb|AB013298.1|+|2296-3195|mphC [Staphylococcus aureus]	gb|BAA34540.1|+|mphC [Staphylococcus aureus]
gb|X51891.1|+|190-1335|ErmE [Saccharopolyspora erythraea NRRL 2338]	gb|CAB60001.1|+|ErmE [Saccharopolyspora erythraea NRRL 2338]
gb|AJ000283.1|+|620-1849|tap [Mycolicibacterium fortuitum]	gb|CAA03986.1|+|tap [Mycolicibacterium fortuitum]
gb|X03216.1|-|4551-5282|ErmA [Staphylococcus aureus]	gb|CAA26964.1|+|ErmA [Staphylococcus aureus]
gb|AY183453.1|+|2730-3950|EreA [Escherichia coli]	gb|AAO38247.1|+|EreA [Escherichia coli]
gb|X03988.1|+|383-1642|EreB [Escherichia coli]	gb|CAA27626.1|+|EreB [Escherichia coli]
gb|AF162694.1|+|1411-2442|vanC [Enterococcus gallinarum]	gb|AAA24786.1|+|vanC [Enterococcus gallinarum]
N/A	N/A
N/A	N/A
gb|AF242872.1|+|2132-2878|ErmB [Enterococcus faecium]	gb|AAF86219.1|+|ErmB [Enterococcus faecium]
gb|AE004091.2|+|472024-473175|MexA [Pseudomonas aeruginosa PAO1]	gb|AAG03814.1|+|MexA [Pseudomonas aeruginosa PAO1]
gb|L11616.1|+|1570-4710|MexB [Pseudomonas aeruginosa]	gb|AAA74437.1|+|MexB [Pseudomonas aeruginosa]
gb|AE004091.2|+|476333-477790|OprM [Pseudomonas aeruginosa PAO1]	gb|AAG03816.1|+|OprM [Pseudomonas aeruginosa PAO1]
gb|Z33413.1|+|387-935|FosC [Pseudomonas syringae]	gb|CAA83855.1|+|FosC [Pseudomonas syringae]
N/A	N/A
gb|AY566250.1|+|392-1555|norA [Staphylococcus epidermidis]	gb|AAS68233.1|+|norA [Staphylococcus epidermidis]
gb|AL123456.1|+|2231680-2232219|Erm(37) [Mycobacterium tuberculosis H37Rv]	gb|CCP44758.1|+|Erm(37) [Mycobacterium tuberculosis H37Rv]
gb|JF969163.1|+|1054-1893|sul1 [Vibrio fluvialis]	gb|AEJ33969.1|+|sul1 [Vibrio fluvialis]
gb|AY055428.1|-|20269-21084|sul2 [Vibrio cholerae]	gb|AAL59753.1|+|sul2 [Vibrio cholerae]
gb|FJ196385.1|-|8532-9323|sul3 [Escherichia coli]	gb|ACJ63260.1|+|sul3 [Escherichia coli]
gb|HE999704.1|-|2734781-2736181|norB [Listeria monocytogenes]	gb|CCQ22388.1|+|norB [Listeria monocytogenes]
gb|AB016934.1|+|6576-7376|FomA [Streptomyces wedmorensis]	gb|BAA32493.1|+|FomA [Streptomyces wedmorensis]
gb|KJ151292.1|+|295-2892|rphA [Streptomyces sp. WAC4747]	gb|AIA08936.1|+|rphA [Streptomyces sp. WAC4747]
gb|JQ064560.1|+|1-1536|QepA1 [Klebsiella aerogenes]	gb|AEZ36150.1|+|QepA1 [Klebsiella aerogenes]
gb|AB016934.1|+|7389-8381|FomB [Streptomyces wedmorensis]	gb|BAA32494.1|+|FomB [Streptomyces wedmorensis]
gb|DQ185434.2|+|1-1257|mgtA [Streptomyces lividans]	gb|ABA28305.2|+|mgtA [Streptomyces lividans]
gb|AJ223970.1|+|797-2050|gimA [Streptomyces ambofaciens]	gb|CAA11707.1|+|gimA [Streptomyces ambofaciens]
N/A	N/A
gb|JN104597.1|+|115-927|NDM-5 [Escherichia coli]	gb|AEN03071.1|+|NDM-5 [Escherichia coli]
gb|AJ250203.1|+|1651-2883|tet(31) [Aeromonas salmonicida subsp. salmonicida]	gb|CAC80727.1|+|tet(31) [Aeromonas salmonicida subsp. salmonicida]
gb|AJ420072.1|+|22940-24163|tet(33) [Corynebacterium glutamicum]	gb|CAD12227.2|+|tet(33) [Corynebacterium glutamicum]
gb|AF353562.1|-|2213-3322|tet(35) [Vibrio harveyi]	gb|AAK37619.1|+|tet(35) [Vibrio harveyi]
N/A	N/A
gb|AP009048.1|+|2586251-2589364|acrD [Escherichia coli str. K-12 substr. W3110]	gb|BAA16344.1|+|acrD [Escherichia coli str. K-12 substr. W3110]
gb|L08389.1|+|391-1254|ErmD [Bacillus anthracis]	gb|AAA22597.1|+|ErmD [Bacillus anthracis]
gb|M17124.1|+|1182-1982|ErmF [Bacteroides fragilis]	gb|AAA88675.1|+|ErmF [Bacteroides fragilis]
gb|U00096.1|+|3413864-3415021|AcrE [Escherichia coli str. K-12 substr. MG1655]	gb|AAC76297.1|+|AcrE [Escherichia coli str. K-12 substr. MG1655]
gb|AP006618.1|+|4835200-4838688|rpoB2 [Nocardia farcinica IFM 10152]	gb|BAD59497.1|+|rpoB2 [Nocardia farcinica IFM 10152]
gb|U00096.1|+|3415033-3418137|AcrF [Escherichia coli str. K-12 substr. MG1655]	gb|AAC76298.1|+|AcrF [Escherichia coli str. K-12 substr. MG1655]
gb|AE006468.2|+|400861-401325|golS [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	gb|AAL19308.1|+|golS [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
N/A	N/A
gb|AP009048.1|+|3974605-3975429|gadX [Escherichia coli str. K-12 substr. W3110]	gb|BAE77778.1|+|gadX [Escherichia coli str. K-12 substr. W3110]
gb|JQ231224.1|+|91-3192|Saur_mupB_MUP [Staphylococcus aureus]	gb|AEY83581.1|+|Saur_mupB_MUP [Staphylococcus aureus]
gb|U00096.3|+|2810770-2811300|emrR [Escherichia coli str. K-12 substr. MG1655]	gb|AAC75731.1|+|emrR [Escherichia coli str. K-12 substr. MG1655]
gb|AP009048.1|-|4153664-4154296|CRP [Escherichia coli str. K-12 substr. W3110]	gb|BAE77933.1|+|CRP [Escherichia coli str. K-12 substr. W3110]
gb|X75439.1|+|477-3551|Saur_mupA_MUP [Staphylococcus aureus]	gb|CAA53189.1|+|Saur_mupA_MUP [Staphylococcus aureus]
gb|L42817.1|+|202-936|ErmG [Bacteroides thetaiotaomicron]	gb|AAC37034.1|+|ErmG [Bacteroides thetaiotaomicron]
gb|AL111168.1|-|336916-337548|cmeR [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]	gb|CAL34518.1|+|cmeR [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]
gb|AY768531.1|+|1-1179|macA [Neisseria gonorrhoeae]	gb|AAV85981.1|+|macA [Neisseria gonorrhoeae]
gb|AY768532.1|+|1-1935|macB [Neisseria gonorrhoeae]	gb|AAV85982.1|+|macB [Neisseria gonorrhoeae]
gb|HM440348.1|+|776-1861|adeS [Acinetobacter baumannii]	gb|ADM92606.1|+|adeS [Acinetobacter baumannii]
gb|HM440348.1|+|1-744|adeR [Acinetobacter baumannii]	gb|ADM92605.1|+|adeR [Acinetobacter baumannii]
gb|FN594949.1|+|25245-27167|tet(44) [Campylobacter fetus subsp. fetus]	gb|CBH51823.1|+|tet(44) [Campylobacter fetus subsp. fetus]
gb|KF147862.1|+|1-654|adeN [Acinetobacter baumannii]	gb|AGV28567.1|+|adeN [Acinetobacter baumannii]
gb|AF090987.1|+|1-1185|tet(30) [Agrobacterium fabrum str. C58]	gb|AAD09860.1|+|tet(30) [Agrobacterium fabrum str. C58]
gb|AY825285.1|+|1-1353|tet(38) [Staphylococcus aureus]	gb|AAV80464.1|+|tet(38) [Staphylococcus aureus]
gb|AY743590.1|+|1-1188|tet(39) [Acinetobacter sp. LUH5605]	gb|AAW66497.1|+|tet(39) [Acinetobacter sp. LUH5605]
gb|AM419751.1|+|14211-15431|tet(40) [uncultured bacterium]	gb|CAM12479.1|+|tet(40) [uncultured bacterium]
gb|AY264780.2|-|1825-3006|tet(41) [Serratia marcescens]	gb|AAP93922.1|+|tet(41) [Serratia marcescens]
gb|EU523697.1|+|687-1973|tet(42) [Micrococcus sp. SMCC G887]	gb|ACD35503.1|+|tet(42) [Micrococcus sp. SMCC G887]
gb|GQ244501.1|-|60-1619|tet(43) [uncultured bacterium AOTet43]	gb|ACS83748.1|+|tet(43) [uncultured bacterium AOTet43]
gb|M63556.1|+|91-840|CcrA [Bacteroides fragilis]	gb|AAA22904.1|+|CcrA [Bacteroides fragilis]
gb|CP007547.1|-|3053572-3054321|Cmen_BlaB [Elizabethkingia anophelis NUHP1]	gb|AIL46641.1|+|Cmen_BlaB [Elizabethkingia anophelis NUHP1]
gb|AJ272109.1|+|1-888|L1_BLA [Stenotrophomonas maltophilia]	gb|CAB75346.1|+|L1_BLA [Stenotrophomonas maltophilia]
gb|FN396876.1|-|2407-3219|NDM-1 [Klebsiella pneumoniae]	gb|CAZ39946.1|+|NDM-1 [Klebsiella pneumoniae]
gb|JF703135.1|+|1-813|NDM-2 [Acinetobacter baumannii]	gb|AEA41876.1|+|NDM-2 [Acinetobacter baumannii]
gb|X97721.2|+|160-1035|ErmN [Streptomyces fradiae]	gb|CAA66307.2|+|ErmN [Streptomyces fradiae]
gb|L22689.1|+|262-1035|ErmQ [Clostridium perfringens]	gb|AAC36915.1|+|ErmQ [Clostridium perfringens]
