gene_id,aro_accession,name,family_id,description,mechanism_id,sequence_accession
3003988,ARO:3003988,AAC(2')-IIb,3000341,AAC(2')-IIb is an intrinsic Kasugamycin 2' acetyltransferase protein found in Paenibacillus sp. LC231, a strain of Paenibacillus isolated from Lechuguilla Cave, NM, USA. Confers resistance to aminoglycoside antibiotics, including kasugamycin.,1004,gb|KX531051.1|+|1-723|AAC(2')-IIb [Paenibacillus sp. LC231]
3002600,ARO:3002600,AAC_3Ib_AAC_6Ib,3007419,AAC(3)-Ib/AAC(6')-Ib3 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.,1004,gb|AAL82588.1|+|AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein [Pseudomonas aeruginosa]
3002591,ARO:3002591,AAC(6')-Ib-Suzhou,3000345,AAC(6')-Ib-Suzhou is an aminoglycoside acetyltransferase in E. cloacae and K. pneumoniae.,1004,gb|ABU55430.1|+|AAC(6')-Ib-Suzhou [Enterobacter cloacae]
3002523,ARO:3002523,AAC(2')-Ia,3000341,AAC(2')-Ia is a chromosomal-encoded aminoglycoside acetyltransferase in P. stuartii.,1004,gb|AAA03550.1|+|AAC(2')-Ia [Providencia stuartii]
3002525,ARO:3002525,AAC(2')-Ic,3000341,AAC(2')-Ic is a chromosomal-encoded aminoglycoside acetyltransferase in M. tuberculosis and Mycobacterium tuberculosis variant bovis.,1004,gb|CCP42991.1|-|AAC(2')-Ic [Mycobacterium tuberculosis H37Rv]
3002526,ARO:3002526,AAC(2')-Id,3000341,AAC(2')-Id is a chromosomal-encoded aminoglycoside acetyltransferase in Mycolicibacterium smegmatis.,1004,gb|AAB41701.1|+|AAC(2')-Id [Mycolicibacterium smegmatis MC2 155]
3002527,ARO:3002527,AAC(2')-Ie,3000341,AAC(2')-Ie is a chromosomal-encoded aminoglycoside acetyltransferase in M. leprae.,1004,gb|CAC32082.1|+|AAC(2')-Ie [Mycobacterium leprae]
3004628,ARO:3004628,AAC(2')-IIa,3000341,AAC(2')-IIa is a kasugamycin 2' N-acetyltransferase protein found in Burkholderia glumae and Acidovorax avenae isolates.,1004,gb|BAM16262.1|+|AAC(2')-IIa [Burkholderia glumae]
3002528,ARO:3002528,AAC(3)-Ia,3000322,"AAC(3)-Ia is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in S. marcescens, E. coli, Acinetobacter baumannii, Klebsiella pneumoniae, Klebsiella oxytoca, P. aeruginosa, Salmonella typhimurium and Proteus mirabilis.",1004,gb|AAG15269.1|+|AAC(3)-Ia [Pseudomonas aeruginosa]
3002531,ARO:3002531,AAC(3)-Ic,3000322,AAC(3)-Ic is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.,1004,gb|CAD53575.1|+|AAC(3)-Ic [Pseudomonas aeruginosa]
3002529,ARO:3002529,AAC(3)-Id,3000322,"AAC(3)-Id is an aminoglycoside acetyltransferase encoded by genomic islands and integrons in S. enterica, P. mirabilis and Vibrio fluvialis.",1004,gb|AAR21614.1|+|AAC(3)-Id [Salmonella enterica subsp. enterica serovar Newport]
3002533,ARO:3002533,AAC(3)-IIa,3000322,"AC(3)-IIa is a plasmid-encoded aminoglycoside acetyltransferase in K. pneumoniae, E. cloacae, Actinobacillus pleuropneumoniae, S. typhimurium, Citrobacter freundii, and P. aeruginosa.",1004,gb|CAA31895.1|+|AAC(3)-IIa [Plasmid pWP113a]
3002534,ARO:3002534,AAC(3)-IIb,3000322,"AAC(3)-IIb is an aminoglycoside acetyltransferase in E. coli, A. faecalis and S. marcescens.",1004,gb|AAA26548.1|+|AAC(3)-IIb [Serratia marcescens]
3002535,ARO:3002535,AAC(3)-IIc,3000322,AAC(3)-IIc is a plasmid-encoded aminoglycoside acetyltransferase in E. coli and P. aeruginosa.,1004,gb|CAA38525.1|+|AAC(3)-IIc [Escherichia coli]
3004623,ARO:3004623,AAC(3)-IId,3000322,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli,1004,gb|ABS70977.1|+|AAC(3)-IId [Escherichia coli]
3004621,ARO:3004621,AAC(3)-IIe,3000322,AAC(3)-IIe is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.,1004,gb|ABS70978.1|+|AAC(3)-IIe [Escherichia coli]
3005085,ARO:3005085,AAC(3)-IIg,3000322,AAC(3)-IIg is part of the AAC(3) family. It was initially found in clinical isolates of Enterobacter cloacae.,1004,gb|QKT21444.1|+|AAC(3)-IIg [Enterobacter cloacae]
3002536,ARO:3002536,AAC(3)-IIIa,3000322,AAC(3)-IIIa is a chromosomal-encoded aminoglycoside acetyltransferase in P. aeruginosa.,1004,gb|CAA39184.1|+|AAC(3)-IIIa [Pseudomonas aeruginosa]
3002537,ARO:3002537,AAC(3)-IIIb,3000322,AAC(3)-IIIb is an aminoglycoside acetyltransferase in P. aeruginosa.,1004,gb|KSC15183.1|-|AAC(3)-IIIb [Pseudomonas aeruginosa]
3002538,ARO:3002538,AAC(3)-IIIc,3000322,AAC(3)-IIIc is an aminoglycoside acetyltransferase in P. aeruginosa.,1004,gb|AAA25683.1|+|AAC(3)-IIIc [Pseudomonas aeruginosa]
3002539,ARO:3002539,AAC(3)-IVa,3000322,"AAC(3)-IV is a plasmid-encoded aminoglycoside acetyltransferase in E. coli, C. jejuni and P. stutzeri.",1004,gb|DQ241380.1|+AAC(3)-IVa [Escherichia coli] 
3005061,ARO:3005061,AAC(3)-IVb,3000322,A novel aminoglycoside resistance gene identified from Cupriavidus gilardii; AAC(3)-IVb / aacC10 is an aminoglycoside-3-N-acetyltransferase gene which confers resistance to gentamicin and tobramycin.,1004,gb|MN366378.1|+AAC(3)-IVb [Cupriavidus gilardii] 
3002543,ARO:3002543,AAC(3)-IXa,3000322,AAC(3)-IXa is a chromosomal-encoded aminoglycoside acetyltransferase in Micromonospora chalcea.,1004,
3002540,ARO:3002540,AAC(3)-VIa,3000322,"AAC(3)-VIa is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae, S. enterica and E. coli. ",1004,
3002541,ARO:3002541,AAC(3)-VIIa,3000322,AAC(3)-VIIa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces rimosus,1004,
3002542,ARO:3002542,AAC(3)-VIIIa,3000322,AAC(3)-VIIIa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces fradiae.,1004,
3002544,ARO:3002544,AAC(3)-Xa,3000322,AAC(3)-Xa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces griseus,1004,
3002583,ARO:3002583,AAC(6')-29a,3000345,AAC(6')-29a is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.,1004,
3002584,ARO:3002584,AAC(6')-29b,3000345,AAC(6')-29b is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.,1004,
3002585,ARO:3002585,AAC(6')-31,3000345,"AAC(6')-31 is an integron-encoded aminoglycoside acetyltransferase in Pseudomonas putida, A. baumannii and K. pneumoniae.",1004,
3002586,ARO:3002586,AAC(6')-32,3000345,AAC(6')-32 is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa.,1004,
3003989,ARO:3003989,AAC(6')-34,3000345,"AAC(6')-34 is an aminoglycoside 6'-phosphotransferase found in Paenibacillus sp. LC231, a strain of Paenibacillus from Lechuguilla Cave, NM, USA. Confers resistance to aminoglycoside antibiotics. Described by Pawlowski et al. 2016.",1004,
3004641,ARO:3004641,AAC(6')-I-43,3000345,"AAC(6')-I-43 (aacA43) is an aminoglycoside acetyltransferase encoded by integrons found in Klebsiella pneumoniae, Escherichia coli, and Enterobacter cloaecae.",1004,
3004638,ARO:3004638,AAC(6')-I-48,3000345,AAC(6')-I-48 (AAC(6')-Iag) is an aminoglycoside acetyltransferase encoded by integrons in Pseudomonas aeruginosa.,1004,
3002588,ARO:3002588,AAC(6')-I30,3000345,AAC(6')-I30 is an integron-encoded aminoglycoside acetyltransferase in S. enterica.,1004,
3002587,ARO:3002587,AAC(6')-I33,3000345,AAC(6')-I33 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.,1004,
3002545,ARO:3002545,AAC(6')-Ia,3000345,"AAC(6')-Ia is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in Citrobacter diversus, E. coli, K. pneumoniae, Shigella sonnei, and P. aeruginosa.",1004,
3002571,ARO:3002571,AAC(6')-Iaa,3000345,AAC(6')-Iaa is a chromosomal-encoded aminoglycoside acetyltransferase in S. typhimurium.,1004,
3002572,ARO:3002572,AAC(6')-Iad,3000345,AAC(6')-Iad is a plasmid-encoded aminoglycoside acetyltransferase in Acinetobacter genomosp. 3.,1004,
3002573,ARO:3002573,AAC(6')-Iae,3000345,AAC(6')-Iae is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa and S. enterica.,1004,
3002574,ARO:3002574,AAC(6')-Iaf,3000345,AAC(6')-Iaf is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa.,1004,
3002575,ARO:3002575,AAC(6')-Iai,3000345,AAC(6')-Iai is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa.,1004,
3003677,ARO:3003677,AAC(6')-Iaj,3000345,AAC(6')-Iaj is a functional acetyltransferase that modifies the amino groups at the 6' positions of aminoglycosides and contributes to aminoglycoside resistance of P. aeruginosa.,1004,
3003199,ARO:3003199,AAC(6')-Iak,3000345,AAC(6')-Iak is a 6'-N-aminoglycoside acetyltransferase-encoding gene isolated from a multidrug-resistant clinical isolate of Stenotrophomonas maltophilia.,1004,
3003200,ARO:3003200,AAC(6')-Ian,3000345,AAC(6')-Ian is an amikacin acetyltransferase gene found on a transferable plasmid of the Serratia marcescens strain NUBL-11663. It catalyzes the transfer of an acetyl group from acetyl coenzyme A onto an amine at the 6'-position of various aminoglycosides.,1004,
3007204,ARO:3007204,AAC(6')-Iap,3000345,AAC(6')-Iap is an aminoglycoside acetyltransferase that confers resistance to a number of aminoglycoside antibiotics.,1004,
