ARO_ID,Gene,Organism,Antibiotics,Drug_Class,Resistance_Mechanism
3002999,CblA-1,mixed culture bacterium AX_gF3SD01_15,cephaloridine,cephalosporin,antibiotic inactivation
3001109,SHV-52,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002867,dfrF,Enterococcus faecalis,trimethoprim,diaminopyrimidine antibiotic,antibiotic target replacement
3001989,CTX-M-130,Escherichia coli,,cephalosporin,antibiotic inactivation
3002356,NDM-6,Escherichia coli,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001855,ACT-35,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002244,CARB-5,Acinetobacter calcoaceticus subsp. anitratus,,penicillin beta-lactam,antibiotic inactivation
3000600,Erm(34),Alkalihalobacillus clausii,erythromycin;roxithromycin;lincomycin;telithromycin;clarithromycin;clindamycin;tylosin;spiramycin;azithromycin;dirithromycin;pristinamycin IA;quinupristin;virginiamycin M1;madumycin II;griseoviridin;dalfopristin;pristinamycin IB;virginiamycin S2;pristinamycin IC;vernamycin C;patricin A;patricin B;ostreogrycin B3;oleandomycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic,antibiotic target alteration
3000988,TEM-126,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002511,LRA-12,uncultured bacterium BLR12,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000938,TEM-72,Morganella morganii,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000928,TEM-59,Klebsiella oxytoca,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002320,KPC-10,s baumannii,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001711,OXA-212,Acinetobacter johnsonii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002193,IMP-2,Acinetobacter baumannii,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002012,CMY-1,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3001517,OXA-329,Acinetobacter calcoaceticus,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001832,ACT-10,Serratia marcescens,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001557,OXA-371,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3003552,fusB,Staphylococcus aureus,fusidic acid,fusidane antibiotic,antibiotic target protection
