drug_class_id,drug_class_name,description
A,Alimentary Tract and Metabolism,"
A07,Antidiarrheals Intestinal Antiinflammatory/Antiinfective Agents,""
A07A,Intestinal Antiinfectives,Locally acting antiinfectives; for systemic antiinfectives see group J; see also group P for antiparasitic products, insecticides, and repellents.
A07AA,Antibiotics,Oral vancomycin and colistin for enterocolitis are classified here; parenteral forms fall under J01XA and J01XB. Combined products containing neomycin receive classification priority (A07AA51). Paromomycin injection for leishmaniasis is also classified here. DDDs are based on treatment of intestinal infections.
D,Dermatologicals,"Topical and systemic preparations with dermatological applications including treatments for acne, psoriasis, and skin infections. Systemic agents with clear dermatological use are also included."
D06,Antibiotics and chemotherapeutics for dermatological use,"Products for topical treatment of skin infections. Antimicrobial chemotherapeutics are included; antineoplastic chemotherapeutics are classified in L01."
D06A,Antibiotics for topical use,"Antibiotics for dermatological use except those with antimycotic properties, combinations with chemotherapeutics (D06C), corticosteroids (D07C), or anti-acne agents (D10AF)."
D06AA,Tetracycline and derivatives,"Topical tetracycline antibiotics. Combined preparations containing oxytetracycline with other antibiotics are classified under D06AA03."
D06AX,Other antibiotics for topical use,"Topical antibiotics not included in other subclasses. Combined neomycin preparations are D06AX04; bacitracin combinations with chlorhexidine or polymyxin B are D06AX05."
G01,Genito-urinary system and sex hormones,"ATC group comprising preparations used for genito-urinary therapeutic indications, including some sexes hormone roles.",""
G01A,Antiinfectives and antiseptics (excl. corticosteroid combinations),"Gynecological antiinfectives and antiseptics mainly for local use. Excludes combinations with corticosteroids (G01B) and antivirals (classified in D06).","G01"
G01AA,Antibiotics (gynecological use),"Antibiotics used locally to treat vaginal infections through gynecological administration.","G01A"
G01AB,Arsenic compounds,""
G01AC,Quinoline derivatives,""
G01AD,Organic acids,""
G01AE,Sulfonamides,""
G01AF,Imidazole derivatives,"Imidazole derivatives (e.g. metronidazole and ornidazole) in formulations for vaginal administration are classified in this group. Parenteral formulations are classified in J01XD, as they are mainly used in anaerobic infections. Imidazole derivatives in oral (including tablets used for the treatment of gynecological infections only) and rectal dosage forms are classified in P01AB. Metronidazole for topical use in skin disorders is classified in D06BX - Other chemotherapeutics."
G01AG,Triazole derivatives,"Fluconazole tablets in single dose packages, only for gynecological infections, are classified together with other packages for systemic use in J02A - Antimycotics for systemic use."
G01AX,Other antiinfectives and antiseptics,"Nifuratel in combination with nystatin is classified in G01AA51."
J01A,Tetracyclines,"This group comprises tetracycline antibacterials inhibiting the bacterial protein synthesis through binding to the 30-S part of ribosomes."
J01B,Amphenicols,"This group comprises amphenicol antibacterials inhibiting the bacterial protein synthesis. Thiamphenicol acetylcysteinate glycinate for inhalation is classified in J01BA52."
J01C,Penicillins (extended spectrum),"This group comprises penicillin beta-lactam antibacterials inhibiting the bacterial cell wall synthesis. Combinations of penicillins from different 4th levels including beta-lactamase inhibitors are classified in J01CR."
J01CA,Penicillins with extended spectrum,"This group comprises penicillins with enhanced activity against gram negative rods, e.g. ampicillin and similar antibiotics."
J01CE,Beta-lactamase sensitive penicillins,""
J01CF,Beta-lactamase resistant penicillins,""
J01CG,Beta-lactamase inhibitors,""
J01CR,Combinations of penicillins incl. beta-lactamase inhibitors,"This group comprises combinations of penicillins, including combinations of penicillins with beta-lactamase inhibitors. Combinations containing one penicillin and enzyme inhibitor are classified at different 5th levels according to the penicillin."
J01DB,First-generation cephalosporins,"The first generation compounds have relatively narrow spectrum of activity focused primarily on the gram-positive cocci."
J01DC,Second-generation cephalosporins,"The second generation cephalosporins have a variable activity against gram-positive cocci but have increased activity against gram-negative bacteria. The cephamycin group is included in the second-generation cephalosporins."
J01DD,Third-generation cephalosporins,"The third generation cephalosporins have a marked activity against gram-negative bacteria. Limited activity against gram-positive cocci particularly methicillin susceptible S. aureus might occur."
J01DE,Fourth-generation cephalosporins,"The fourth generation cephalosporins have activity against gram-positive cocci and a broad array of gram-negative bacteria including P. aeruginosa and many of the Enterobacteriaceae with inducible chromosomal b-lactamases."
J01DF,Monobactams,"Arginin and lysine salts of aztreonam are classified in J01DF01; thus aztreonam for inhalation is classified together with systemic formulations."
J01DH,Carbapenems,"The DDD for meropenem is based on treatment of severe infections."
J01DI,Other cephalosporins and penems,"β-lactam antibacterials distinct from classic cephalosporin generations; includes ceftolozane combinations"
J01EA,Trimethoprim and derivatives,"The DDDs are based on the treatment of acute urinary-tract infections."
J01EB,Short-acting sulfonamides,"This group comprises sulfonamides with a biological half-life not exceeding approx. 7 hours."
J01EC,Intermediate-acting sulfonamides,"This group comprises sulfonamides with a biological half-life of approx. 11-12 hours."
J01ED,Long-acting sulfonamides,"This group comprises sulfonamides with a biological half-life of approx. 35 hours or more."
J01EE,Combinations of sulfonamides and trimethoprim incl. derivatives,"When establishing DDDs for combination products both components are taken into consideration see list of DDDs for combination products atcddd.fhi.no."
J01FA,Macrolides,"Erythromycin ethylsuccinate tablets have been assigned a higher DDD than other preparations of erythromycin due to a lower bio-availability. This DDD is mainly based on the dose recommendations. The oral DDD for azithromycin is based on a 5-day regimen."
J01FF,Lincosamides,"Orally and parenterally administered clindamycin have different DDDs due to different indications i.e. the intestinal and systemic infections respectively."
J01FG,Streptogramins,"The streptogramin components dalfopristin/quinupristin are semisynthetic derivatives of pristinamycin. The two components have synergistic antibacterial effect and are always used together. Quinupristin/dalfopristin are therefore classified at the ATC plain level J01FG02."
J01GA,Streptomycins,"Streptomycins in combination with antimycobacterials are classified in J04AM."
J01GB,Other aminoglycosides,"Tobramycin and amikacin for inhalation are classified together with the systemic formulations in J01GB01 and J01GB06 respectively."
